id,time,score,city,nickname,gender,content
1034957166,2018-08-12 19:56,4.0,中山,WDT133151123,女性,没有什么特别精彩的部分。
1035018300,2018-08-12 19:55,3.0,宜昌,蜜蜂张敏,女性,我是看巨齿鲨点错了的，可是不能重买，所以……
1035022486,2018-08-12 19:55,4.5,南充,芒果c先生,女性,搞笑一般，但是剧情很好
1035015612,2018-08-12 19:55,3.0,海口,fairy,女性,黄渤的处女座，有些电影画面的拍摄还是挺好看的，剧情也还不错，就是节奏上不够紧凑，我看着总有一种想要快进的感觉，没有达到我的预期。唯一惊喜的是张艺兴的演技还是可以的，个人还是觉得黄渤演别人的片子更好一些。
1035022481,2018-08-12 19:55,4.5,广元,廖文斌,男性,真的很棒，人性，团队，真爱等等。
1035025171,2018-08-12 19:55,4.0,牡丹江,bQC364142339,女性,黄渤第一次导演的影片，可以一看。人性善变的弱点展露无疑。什么是对，什么是错。但终归人之初，性本善战胜了一切。
1035025183,2018-08-12 19:55,3.5,深圳,AQH537242116,女性,结尾和某一部电影或电视太像了
1035018277,2018-08-12 19:55,5.0,深圳,趣多多曲奇饼,女性,执念不要太深...
1035018276,2018-08-12 19:55,5.0,拉萨,QpY529719569,女性,都是戲呀都是戲
1035013926,2018-08-12 19:55,3.0,天津,VOb306478595,女性,展示太多人性的一面
1035025116,2018-08-12 19:55,5.0,海口,Barcelona686,女性,喜欢宝宝 支持他
1035013920,2018-08-12 19:55,3.5,西安,DXb560710526,女性,這出戲請大家好好品品
1035025104,2018-08-12 19:55,5.0,温州,啦啦啦,男性,烂大街是不是
1035025100,2018-08-12 19:55,4.0,兰州,ATg280999521,女性,不错，黄渤有想法
1035015557,2018-08-12 19:55,4.5,昆明,小小瑾xxJ,女性,看完最大的感受就是张艺兴的演技 黑化的小兴演技炸裂 还有这部电影让我看完了张艺兴的所有丑照🤣🤣
1035015556,2018-08-12 19:55,4.5,如皋,刘晓朋254,男性,不错，挺有深度的
1035025091,2018-08-12 19:54,4.0,西安,小梁哥哥哥,男性,春梦还要自己醒来～
1035013913,2018-08-12 19:54,5.0,南川,pCS383618737,女性,影片不错，只是长了一点。
1035022394,2018-08-12 19:54,5.0,武汉,oNT533424300,女性,不错，还想看
1035018255,2018-08-12 19:54,0.5,江阴,婧婧best,女性,编剧太差 演员太做作 王宝强舒淇根本就不会表演 黄渤演得太假
1035001399,2018-08-12 19:54,1.5,长垣,oBy183634984,女性,黄渤拍的处女作电影、远没有他在其他电影中演的精彩，看了很是失望，没有很新鲜的故事情节，说是垃圾片有点不好听，这个真是没有意思
1035022211,2018-08-12 19:54,5.0,北京,Lug89683103,女性,"真不知道那些说无聊不好看的人是怎么想的 
  
  麻烦用心看吧 ！ 

  支持黄渤。
 
  特别有深度的电影 👍"
1035025074,2018-08-12 19:54,3.5,常州,不该a去爱,男性,挺好看的 张艺兴的演技棒棒的
1035015545,2018-08-12 19:54,5.0,成都,潇尧－ZXJ,男性,有深度的电影。
1035013843,2018-08-12 19:54,5.0,漯河,铎幸运,女性,黄渤的第一部自导自演的作品，处女座，很值得观看，影片内容很丰富，片中处处都是笑点但是欢笑的同时又何尝不是体现出了社会的现实和残酷，从趋炎附势，求同存异到团结一致，因为生活在社会残酷的最底层，一瞬间拥有了美好的生活，不用起早贪黑、累死累活的去拼命工作，养家糊口，所以不敢再回到现实世界去直面生活的残酷，幻想着、自私着想要一直存留在小岛，停留在那一刻的美好，到最后被爱化解，被良知唤醒，影片无不是体现了生活的残酷，但是，即使残酷人们也有直面生活和与生活对抗的勇气和信心，值得一看！😄😄
1035013898,2018-08-12 19:54,5.0,东莞,东祺boy,女性,很有深度，，
1035022359,2018-08-12 19:54,3.5,武汉,oLb414733446,女性,黄导拖了渤影帝的后腿……
1035018244,2018-08-12 19:54,5.0,荆门,iQi709522984,女性,非常好看！拍的很现实。
1035025059,2018-08-12 19:54,4.5,太原,LinAmecy,女性,还可以。。。。。。
1035025038,2018-08-12 19:54,3.5,武汉,Kiv635663144,女性,可圈可点，还有进步空间，期待渤哥！
1035025021,2018-08-12 19:54,4.5,遂宁,那就没办法啦,女性,可以，挺好看的。
1035015520,2018-08-12 19:54,5.0,沈阳,XXR868175806,女性,这部片子有笑点的同时还能对任性的解读 十分好评 值得一看
1035022328,2018-08-12 19:54,5.0,诸暨,吴我问问,女性,很不错、内心起伏跌宕又起伏跌宕
1035025009,2018-08-12 19:54,4.0,成都,i张蕃,男性,虽说很好   但不是我的菜
1035013878,2018-08-12 19:54,3.5,张家港,Linaxuno1,女性,极限挑战之小岛三国演义？极限挑战之小岛人类简史？吵得我脑壳疼
1035013763,2018-08-12 19:54,4.5,贵阳,MxT657530930,女性,黄渤诚心之作  突出人性 但画面 特效确实简陋了
1034957155,2018-08-12 19:54,5.0,唐山,大璐啊_,女性,张艺兴演技炸裂啊！黑化的时候超带感，所以说不能欺负老实人啊，剧情还行，笑点挺多，小兴最后选择了遗忘，才是最好的结局吧
1034850809,2018-08-12 19:54,4.5,武汉,小团新谕,女性,女朋友说，这个电影好极了！
1035018204,2018-08-12 19:54,0.5,武汉,yBs291096316,女性,真的很不好看
1035022292,2018-08-12 19:54,4.0,杭州,xfG375898227,女性,还不错，第一次做导演拍的能看，也有让人思考的东西，但不得不说，如果把闲杂的剧情删一下会更好
1035022291,2018-08-12 19:53,5.0,郑州,小苜蓿的童话,女性,"哇看火点不着给我急死了..
炒鸡好看..值得深思..（虽然我思考不出来）
٩😐ི۶٩😐ི۶٩😐ི۶٩😐ི۶"
1035021964,2018-08-12 19:53,5.0,哈尔滨,Gta903733463,男性,啥电影我都给10分。
1033754521,2018-08-12 19:53,3.5,青岛,Chelfish,男性,"黄导处女作格局很大，前边略感无聊，荒岛设定，秩序建立与推翻重建，阶级对抗，人性与欲望。
二刷一遍，多给一星，最后有彩蛋不要走开，是山争哥哥。"
1035015492,2018-08-12 19:53,4.5,杭州,知行合一,男性,黄渤第一部导演的戏，支持。
1033605807,2018-08-12 19:53,4.5,赣州,balsa～～，694,男性,没意思，这个片子真的没啥意思
1035015488,2018-08-12 19:53,4.0,北京,gNF519193541贤,女性,想精彩地做一回导演真不容易，即使对于不差钱不差人以及啥都不差的黄渤也是如此——我能感觉到黄总在电影中一会儿小心翼翼地避开恐怖片，一会儿迫不及待地躲开人伦片的急迫感，博弈再三后还是把主题落在了喜剧片上——皆大欢喜，开心为上。
1035022242,2018-08-12 19:53,5.0,徐州,juanjuan200999,女性,好看！故事情节紧凑，跌宕起伏，在生存面前考验人性！
1035015473,2018-08-12 19:53,5.0,德阳,Tbn936224747,女性,好看好看的很我没买票怎么也能评论呢？
1035022234,2018-08-12 19:53,4.5,上海,Siconhuang,男性,不错！不错！不错！
1035013839,2018-08-12 19:53,5.0,北京,王洛吴,女性,一部有深度的电影！
1033804409,2018-08-12 19:53,5.0,唐山,彭昱畅啊,女性,"以为渤哥电影上映会下雨，祈祷半天不下雨。
艺兴黑化真的是演技炸裂。真的是一出好戏"
1035021908,2018-08-12 19:53,4.5,徐州,良木南栖,女性,题材挺好的，很现实的电影。挺好看的
1035018194,2018-08-12 19:53,4.0,上海,QQzhang158,女性,冲着渤哥去的
1034007365,2018-08-12 19:53,5.0,运城,唯爱兴宝,女性,太棒了 尤其小兴黑化那里 我的妈呀 绝了 真的 小兴演技真的棒到爆炸啊
1035018191,2018-08-12 19:52,5.0,太原,KPu316710298,男性,挺好棒棒哒哈
